Designator,Footprint,Quantity,Value,LCSC Part #
BTN_BOOT1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
"C10, C5, C6, C7, C8, C9",0402,6,100nF,C1525
"C3, C4",0603,2,10uF,C19702
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",D_SOD-123,36,1N4148W,C81598
FB1,0603,1,FerriteBead,C394426
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C 16PIN 2MD(073),C2765186
"R2, R3",0402,2,5.1K,C25905
R4,0402,1,10K,C25744
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,SOT-23-3,1,XC6206P332MR,C5446
U3,UFQFPN48-7x7mm,1,STM32F072CBU6,C92504
